date,open,high,low,close,volume,average,barCount
2024-06-05 01:45:00-04:00,1.08776,1.08783,1.0877,1.08777,-1.0,-1.0,-1
2024-06-05 01:50:00-04:00,1.08777,1.08777,1.0876,1.08775,-1.0,-1.0,-1
2024-06-05 01:55:00-04:00,1.08775,1.08802,1.08775,1.08792,-1.0,-1.0,-1
2024-06-05 02:00:00-04:00,1.08792,1.08797,1.08778,1.08792,-1.0,-1.0,-1
2024-06-05 02:05:00-04:00,1.08792,1.08792,1.087555,1.08756,-1.0,-1.0,-1
2024-06-05 02:10:00-04:00,1.08756,1.08763,1.087415,1.08742,-1.0,-1.0,-1
2024-06-05 02:15:00-04:00,1.08742,1.0875,1.08725,1.08725,-1.0,-1.0,-1
2024-06-05 02:20:00-04:00,1.08725,1.08736,1.08722,1.08736,-1.0,-1.0,-1
2024-06-05 02:25:00-04:00,1.08736,1.08748,1.0873,1.087405,-1.0,-1.0,-1
2024-06-05 02:30:00-04:00,1.087405,1.08753,1.087365,1.087455,-1.0,-1.0,-1
2024-06-05 02:35:00-04:00,1.087455,1.08765,1.087445,1.08765,-1.0,-1.0,-1
2024-06-05 02:40:00-04:00,1.08765,1.087685,1.087545,1.087555,-1.0,-1.0,-1
2024-06-05 02:45:00-04:00,1.087555,1.08765,1.08751,1.08751,-1.0,-1.0,-1
2024-06-05 02:50:00-04:00,1.08751,1.087695,1.08745,1.087685,-1.0,-1.0,-1
2024-06-05 02:55:00-04:00,1.087685,1.088015,1.087605,1.087605,-1.0,-1.0,-1
2024-06-05 03:00:00-04:00,1.087605,1.087845,1.08743,1.087565,-1.0,-1.0,-1
2024-06-05 03:05:00-04:00,1.087565,1.087755,1.087475,1.087495,-1.0,-1.0,-1
2024-06-05 03:10:00-04:00,1.087495,1.087515,1.087245,1.08741,-1.0,-1.0,-1
2024-06-05 03:15:00-04:00,1.08741,1.087575,1.08732,1.08747,-1.0,-1.0,-1
2024-06-05 03:20:00-04:00,1.08747,1.08773,1.087395,1.08773,-1.0,-1.0,-1
2024-06-05 03:25:00-04:00,1.08773,1.087875,1.087595,1.087815,-1.0,-1.0,-1
2024-06-05 03:30:00-04:00,1.087815,1.08795,1.08777,1.08783,-1.0,-1.0,-1
2024-06-05 03:35:00-04:00,1.08783,1.087915,1.08773,1.08774,-1.0,-1.0,-1
2024-06-05 03:40:00-04:00,1.08774,1.08782,1.087655,1.08768,-1.0,-1.0,-1
2024-06-05 03:45:00-04:00,1.08768,1.08768,1.08721,1.087305,-1.0,-1.0,-1
2024-06-05 03:50:00-04:00,1.087305,1.087325,1.08714,1.087255,-1.0,-1.0,-1
2024-06-05 03:55:00-04:00,1.087255,1.08739,1.087095,1.087165,-1.0,-1.0,-1
2024-06-05 04:00:00-04:00,1.087165,1.087425,1.087105,1.087365,-1.0,-1.0,-1
2024-06-05 04:05:00-04:00,1.087365,1.087475,1.087245,1.08747,-1.0,-1.0,-1
2024-06-05 04:10:00-04:00,1.08747,1.087475,1.087285,1.08734,-1.0,-1.0,-1
2024-06-05 04:15:00-04:00,1.08734,1.087375,1.087125,1.087225,-1.0,-1.0,-1
2024-06-05 04:20:00-04:00,1.087225,1.087225,1.087005,1.087175,-1.0,-1.0,-1
2024-06-05 04:25:00-04:00,1.087175,1.08756,1.087165,1.0873,-1.0,-1.0,-1
2024-06-05 04:30:00-04:00,1.0873,1.0875,1.087205,1.08748,-1.0,-1.0,-1
2024-06-05 04:35:00-04:00,1.08748,1.0875,1.08735,1.087475,-1.0,-1.0,-1
2024-06-05 04:40:00-04:00,1.087475,1.08752,1.08741,1.08748,-1.0,-1.0,-1
2024-06-05 04:45:00-04:00,1.08748,1.08757,1.087345,1.087395,-1.0,-1.0,-1
2024-06-05 04:50:00-04:00,1.087395,1.087675,1.08738,1.08767,-1.0,-1.0,-1
2024-06-05 04:55:00-04:00,1.08767,1.087685,1.087515,1.0876,-1.0,-1.0,-1
2024-06-05 05:00:00-04:00,1.0876,1.0876,1.087255,1.08738,-1.0,-1.0,-1
2024-06-05 05:05:00-04:00,1.08738,1.087525,1.087225,1.087255,-1.0,-1.0,-1
2024-06-05 05:10:00-04:00,1.087255,1.087355,1.087145,1.087275,-1.0,-1.0,-1
2024-06-05 05:15:00-04:00,1.087275,1.08742,1.08717,1.087355,-1.0,-1.0,-1
2024-06-05 05:20:00-04:00,1.087355,1.087515,1.08734,1.087505,-1.0,-1.0,-1
2024-06-05 05:25:00-04:00,1.087505,1.087595,1.087295,1.087445,-1.0,-1.0,-1
2024-06-05 05:30:00-04:00,1.087445,1.08756,1.087325,1.087465,-1.0,-1.0,-1
2024-06-05 05:35:00-04:00,1.087465,1.08763,1.087415,1.087605,-1.0,-1.0,-1
2024-06-05 05:40:00-04:00,1.087605,1.08773,1.08757,1.08757,-1.0,-1.0,-1
2024-06-05 05:45:00-04:00,1.08757,1.08768,1.08753,1.087635,-1.0,-1.0,-1
